regionalschluessel,name,bevoelkerungsdichte
53820020020,Hennef (Sieg),438
53620036036,Pulheim,739
59660020020,Lennestadt,190
59620028028,Kierspe,224
57740016016,Büren,126
55660040040,Lengerich,243
59130000000,Dortmund,2068
53660032032,Nettersheim,79
57740032032,Paderborn,808
53580012012,Heimbach,67
55620014014,Gladbeck,2063
53580040040,Merzenich,260
51540044044,Rees,193
55620036036,Waltrop,616
53660040040,Weilerswist,288
53820064064,Swisttal,285
57580020020,Kirchlengern,472
55660032032,Ladbergen,124
53660044044,Zülpich,196
55700032032,Ostbevern,119
55540020020,Gronau (Westf.),587
59780032032,Selm,423
55620016016,Haltern am See,237
59580012012,Brilon,111
53580008008,Düren,1047
51240000000,Wuppertal,2051
57700032032,Porta Westfalica,335
51540052052,Straelen,213
55660092092,Westerkappeln,128
51700052052,Xanten,294
53660008008,Blankenheim,56
51580020020,Langenfeld (Rhld.),1387
53820008008,Bad Honnef,521
57740012012,Borchen,172
53660020020,Hellenthal,58
59580028028,Medebach,62
59740048048,Welver,140
59700012012,Erndtebrück,101
53620040040,Wesseling,1521
55150000000,Münster,996
53780004004,Bergisch Gladbach,1320
53780008008,Burscheid,665
59740044044,Warstein,159
53820016016,Eitorf,264
53820076076,Windeck,174
51160000000,Mönchengladbach,1507
59700008008,Burbach,181
59700016016,Freudenberg,326
57660052052,Lügde,109
51660032032,Viersen,824
51540036036,Kleve,499
51660024024,Schwalmtal,393
59700024024,Kreuztal,437
53340016016,Herzogenrath,1390
53700024024,Selfkant,237
53700016016,Heinsberg,446
53580004004,Aldenhoven,310
53780012012,Kürten,291
59620012012,Halver,208
59620052052,Plettenberg,264
57700044044,Stemwede,81
51620012012,Jüchen,318
51620008008,Grevenbroich,606
53340032032,Stolberg (Rhld.),573
51580028028,Ratingen,976
55580016016,Dülmen,248
51580012012,Heiligenhaus,926
57620024024,Marienmünster,80
59620040040,Menden (Sauerland),615
51220000000,Solingen,1751
51540048048,Rheurdt,222
55540024024,Heek,122
55660060060,Neuenkirchen,281
57660004004,Augustdorf,229
51580004004,Erkrath,1626
59660004004,Attendorn,248
53700004004,Erkelenz,366
53700028028,Übach-Palenberg,920
55620024024,Marl,953
59780016016,Holzwickede,748
51540024024,Kalkar,155
55540012012,Borken,271
59700044044,Wilnsdorf,279
59660016016,Kirchhundem,79
53780016016,Leichlingen (Rhld.),747
59110000000,Bochum,2484
53740044044,Waldbröl,295
53740040040,Reichshof,163
53740024024,Marienheide,246
53580052052,Nörvenich,157
53620012012,Brühl,1218
53820060060,Siegburg,1700
55700044044,Telgte,212
55580024024,Lüdinghausen,170
53820056056,Sankt Augustin,1596
55540044044,Reken,183
53740032032,Nümbrecht,233
59660024024,Olpe,287
59660028028,Wenden,270
53740012012,Gummersbach,521
59580032032,Meschede,137
53740028028,Morsbach,183
59620020020,Herscheid,121
53740004004,Bergneustadt,498
59660008008,Drolshagen,176
59700020020,Hilchenbach,184
53820036036,Much,182
53740020020,Lindlar,247
53820040040,Neunkirchen-Seelscheid,386
53580060060,Vettweiß,108
51540064064,Weeze,131
53620020020,Erftstadt,410
53780024024,Overath,392
53740052052,Wipperfürth,180
51580016016,Hilden,2115
51700020020,Kamp-Lintfort,588
51620024024,Neuss,1534
53620004004,Bedburg,287
53700032032,Waldfeucht,289
53580024024,Jülich,357
53340004004,Alsdorf,1463
53580048048,Niederzier,217
53820052052,Ruppichteroth,167
57540008008,Gütersloh,858
57620004004,Bad Driburg,161
59700040040,Siegen,875
53620024024,Frechen,1142
57660012012,Barntrup,148
57740024024,Hövelhof,225
59540008008,Ennepetal,517
51540028028,Kerken,215
55540008008,Bocholt,593
59780024024,Lünen,1428
53700020020,Hückelhoven,636
55540068068,Vreden,165
57660040040,Lage,457
55620032032,Recklinghausen,1718
55700048048,Wadersloh,104
59780028028,Schwerte,823
53820012012,Bornheim,564
53820004004,Alfter,666
51700004004,Alpen,212
59780012012,Fröndenberg/Ruhr,368
55620008008,Datteln,520
55540040040,Raesfeld,192
57660024024,Dörentrup,159
51540020020,Issum,218
57580036036,Vlotho,244
59620032032,Lüdenscheid,838
59740052052,Werl,391
57620016016,Brakel,95
57620028028,Nieheim,78
55700008008,Beckum,324
51580024024,Mettmann,889
59700004004,Bad Berleburg,71
57660016016,Blomberg,154
59620060060,Werdohl,538
59540020020,Herdecke,1007
59780008008,Bönen,471
57540048048,Versmold,245
59540028028,Sprockhövel,524
53740008008,Engelskirchen,305
59540004004,Breckerfeld,152
55620028028,Oer-Erkenschwick,797
57540028028,Rheda-Wiedenbrück,544
57660020020,Detmold,569
53700008008,Gangelt,241
59620016016,Hemer,499
53740016016,Hückeswagen,297
57580024024,Löhne,666
57540004004,Borgholzhausen,155
51580026026,Monheim am Rhein,1753
53580020020,Inden,199
55660068068,Ochtrup,182
57540012012,Halle (Westf.),304
59580024024,Marsberg,109
51540012012,Geldern,342
59620008008,Balve,154
55580036036,Olfen,234
51580008008,Haan,1247
59740040040,Soest,547
51110000000,Düsseldorf,2781
57540044044,Verl,350
59740020020,Geseke,211
53340008008,Baesweiler,958
53580056056,Titz,120
51660016016,Nettetal,496
57660056056,Oerlinghausen,507
55700036036,Sassenberg,180
55660096096,Wettringen,138
51660020020,Niederkrüchten,223
55540060060,Südlohn,197
57660064064,Schlangen,119
59700036036,Neunkirchen,342
59660012012,Finnentrop,163
57700024024,Minden,793
57700008008,Espelkamp,293
51660028028,Tönisvorst,656
53340024024,Roetgen,212
53660004004,Bad Münstereifel,113
55620012012,Dorsten,441
51700024024,Moers,1521
53700036036,Wassenberg,409
55700012012,Beelen,200
53820032032,Meckenheim,683
59580040040,Schmallenberg,82
59700028028,Bad Laasphe,102
57540024024,Langenberg,214
57540016016,Harsewinkel,240
59620004004,Altena,389
57580008008,Enger,494
57580004004,Bünde,761
55660072072,Recke,209
57700012012,Hille,153
53820072072,Wachtberg,402
55700024024,Everswinkel,136
55620020020,Herten,1626
55540032032,Isselburg,250
57540032032,Rietberg,263
51540056056,Uedem,133
55660020020,Hopsten,76
59160000000,Herne,3007
59620056056,Schalksmühle,275
57660028028,Extertal,123
57580028028,Rödinghausen,266
53820044044,Niederkassel,1035
57660044044,Lemgo,404
59780036036,Unna,663
59780020020,Kamen,1055
51540004004,Bedburg-Hau,209
57540020020,Herzebrock-Clarholz,201
55660036036,Laer,188
59700032032,Netphen,168
59540016016,Hattingen,762
51120000000,Duisburg,2085
59620044044,Nachrodt-Wiblingwerde,226
55540048048,Rhede,241
57700028028,Petershagen,120
57580016016,Hiddenhausen,821
55660016016,Hörstel,182
55700028028,Oelde,280
55660084084,Steinfurt,298
59580036036,Olsberg,125
57740028028,Lichtenau,55
57540040040,Steinhagen,361
51700048048,Wesel,490
53620028028,Hürth,1131
51660008008,Grefrath,475
55540056056,Stadtlohn,254
59540012012,Gevelsberg,1185
59620024024,Iserlohn,740
53340028028,Simmerath,136
55660024024,Horstmar,142
55580008008,Billerbeck,125
51130000000,Essen,2728
51620020020,Korschenbroich,585
55580004004,Ascheberg,141
59780004004,Bergkamen,1074
57660048048,Leopoldshöhe,436
57660036036,Kalletal,123
55660008008,Emsdetten,496
53660012012,Dahlem,44
55580020020,Havixbeck,218
59580044044,Sundern (Sauerland),145
59580016016,Eslohe (Sauerland),78
53660028028,Mechernich,197
51700028028,Neukirchen-Vluyn,618
55540028028,Heiden,152
59740012012,Ense,240
51620016016,Kaarst,1137
51660012012,Kempen,503
55580028028,Nordkirchen,185
57620020020,Höxter,186
57620012012,Borgentreich,68
59580048048,Winterberg,86
53340020020,Monschau,125
59740056056,Wickede (Ruhr),485
59140000000,Hagen,1164
51700012012,Hamminkeln,162
59580008008,Bestwig,164
57700020020,Lübbecke,391
55660048048,Lotte,371
53580028028,Kreuzau,412
55660076076,Rheine,510
51700044044,Voerde (Niederrhein),678
59620048048,Neuenrade,222
55660052052,Metelen,160
55700004004,Ahlen,423
51580036036,Wülfrath,651
57540052052,Werther (Westf.),319
57620008008,Beverungen,136
55700040040,Sendenhorst,133
57700040040,Rahden,112
53620032032,Kerpen,563
53620016016,Elsdorf,319
53580032032,Langerwehe,327
55580012012,Coesfeld,254
51700032032,Rheinberg,408
51700008008,Dinslaken,1407
55660044044,Lienen,116
55130000000,Gelsenkirchen,2455
59740004004,Anröchte,140
55580040040,Rosendahl,113
51700016016,Hünxe,126
53150000000,Köln,2584
51170000000,Mülheim an der Ruhr,1831
55660012012,Greven,256
59150000000,Hamm,780
55540004004,Ahaus,257
51620028028,Rommerskirchen,212
53580044044,Nideggen,149
55620004004,Castrop-Rauxel,1423
53660036036,Schleiden,106
53740036036,Radevormwald,411
59780040040,Werne,390
59740032032,Möhnesee,88
57110000000,Bielefeld,1274
57740040040,Bad Wünnenberg,75
53660024024,Kall,168
55540036036,Legden,125
57700016016,Hüllhorst,292
59740016016,Erwitte,177
57540036036,Schloß Holte-Stukenbrock,391
53740048048,Wiehl,472
53140000000,Bonn,2226
51540032032,Kevelaer,277
53700040040,Wegberg,328
51700040040,Sonsbeck,156
51620004004,Dormagen,734
51660036036,Willich,747
59740008008,Bad Sassendorf,184
51580032032,Velbert,1076
51140000000,Krefeld,1615
51620022022,Meerbusch,848
53780028028,Rösrath,723
55580044044,Senden,184
53340002002,Aachen,1513
57620032032,Steinheim,169
57660032032,Horn-Bad Meinberg,190
53580036036,Linnich,189
53780032032,Wermelskirchen,461
59620036036,Meinerzhagen,178
51660004004,Brüggen,252
57580012012,Herford,828
51540008008,Emmerich am Rhein,377
55660056056,Mettingen,288
55700020020,Ennigerloh,155
53340012012,Eschweiler,727
53820048048,Rheinbach,385
57740020020,Delbrück,198
57740008008,Bad Lippspringe,301
55540064064,Velen,184
53620008008,Bergheim,619
53700012012,Geilenkirchen,322
59740036036,Rüthen,67
59740024024,Lippetal,93
55580032032,Nottuln,226
51200000000,Remscheid,1463
53820024024,Königswinter,526
55660080080,Saerbeck,120
51540040040,Kranenburg,134
57700036036,Preußisch Oldendorf,181
51700036036,Schermbeck,122
51540060060,Wachtendonk,167
55540052052,Schöppingen,108
51540016016,Goch,289
53820028028,Lohmar,454
59580020020,Hallenberg,68
53820068068,Troisdorf,1182
57740036036,Salzkotten,225
57660060060,Schieder-Schwalenberg,143
55660028028,Ibbenbüren,465
57660008008,Bad Salzuflen,523
55700016016,Drensteinfurt,143
55660088088,Tecklenburg,125
57740004004,Altenbeken,120
55700052052,Warendorf,209
53780020020,Odenthal,370
53660016016,Euskirchen,402
53340036036,Würselen,1111
51190000000,Oberhausen,2715
57620040040,Willebadessen,64
57620036036,Warburg,138
59580004004,Arnsberg,379
57580032032,Spenge,361
59540024024,Schwelm,1356
59540036036,Witten,1325
59540032032,Wetter (Ruhr),872
53160000000,Leverkusen,2048
55540016016,Gescher,209
55660064064,Nordwalde,180
59740028028,Lippstadt,585
55120000000,Bottrop,1153
55660004004,Altenberge,162
53580016016,Hürtgenwald,98
57700004004,Bad Oeynhausen,746
